HE1991	HE1992	HE1993	HE1994	HE1995	HE1996	HE1997	HE1998	HE1999	HE2000	HE2001	HE2002	HE2003	HE2004	HE2005	HE2006	HE2007	HE2008	HE2009	HE2010	HE2011	HE2012	HE2013	HE2014	HE2015	HE2016	HE2017
12.9919	13.0542	13.3270	13.0522	12.4683	12.9838	12.9073	12.6783	12.7650	12.9000	12.7171	12.8095	12.2104	11.2012	10.9400	10.0390	8.8953	8.7243	11.0446	10.5567	9.4658	9.8524	9.9083	9.1951	10.2316	10.7010	10.3721
44.7921	46.8047	48.2726	47.7363	46.4331	46.5167	45.1169	45.1002	44.1066	41.9000	42.5425	42.8407	43.6021	44.1830	46.1254	39.7781	38.5550	38.0221	37.7842	35.7277	38.4858	36.2114	31.9078	34.2684	33.9133	33.1610	31.7736
27.5910	26.9302	27.6641	27.1521	27.2385	26.2652	26.8683	26.3733	26.5723	26.1000	26.6395	26.4490	24.6986	23.2243	23.5417	22.5233	20.9159	19.7120	22.8425	23.0669	23.0168	24.3484	23.7054	23.5653	25.2814	25.4206	24.7679
56.1830	56.0007	55.7887	54.5767	53.5766	54.4272	52.3139	52.5936	53.0917	51.5000	53.7564	52.4683	53.1234	50.5160	50.4492	49.5191	48.8418	48.2468	50.1903	48.1989	46.6140	46.7984	46.7299	44.7751	43.4493	43.3652	42.0241
38.0707	37.5966	37.6455	37.7593	37.1854	37.4981	37.5906	37.5288	38.5333	39.7000	40.0141	38.9129	38.5116	38.2645	39.4233	36.7859	32.8612	32.0863	33.8811	34.3984	34.8407	33.1818	33.7560	33.1200	33.5057	31.7970	30.6643
38.2379	37.4049	38.1871	37.1809	37.1833	38.6906	35.6246	40.1610	37.3428	39.6000	38.8225	38.7287	38.5420	36.7649	36.9382	35.7274	32.7478	30.3343	30.8452	31.4540	27.6315	32.0206	30.4430	31.9520	30.1496	29.0769	26.9180
32.1021	31.6379	31.5308	31.7887	31.5420	30.8754	31.8072	31.6865	32.4634	33.6000	33.8482	33.9928	34.8031	34.4620	34.6515	30.5829	29.3094	29.3215	29.0305	27.7234	26.8794	25.4882	26.1419	26.6767	26.3679	24.7721	24.5137
55.4749	59.8662	54.6987	62.7420	56.0890	61.3687	57.8161	56.1878	53.9052	55.4000	57.6678	59.9821	57.9878	54.0928	54.7108	53.4428	55.6638	51.2252	51.1979	49.2326	48.4387	48.2697	47.4805	46.7280	47.2543	47.8813	47.1681
52.7017	52.7589	51.7787	50.6065	49.3990	48.7680	47.8324	47.9151	49.2843	49.6000	50.4395	50.0021	49.3972	47.5024	47.2068	47.3284	46.7043	46.1398	49.1188	46.7094	43.3791	44.4692	45.8262	42.8759	41.4879	42.5779	40.9862
17.0665	16.7952	16.3099	15.9398	15.9067	16.2227	15.3093	16.4436	16.5867	16.6000	16.7073	17.0535	16.9668	16.2786	15.3505	14.8172	14.2199	14.1173	14.6545	13.8426	13.2085	13.0536	12.7906	12.4035	12.2987	12.3873	11.8325
29.0593	29.2487	30.1151	28.8900	27.2240	26.2886	26.1664	25.5463	25.6986	25.1000	25.0931	24.4647	24.1502	22.6336	22.2773	21.5264	19.6593	18.9489	21.1730	20.7364	19.6863	20.3620	19.8891	19.7772	20.7889	20.5496	19.7610
